GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ITERA Backend,com.itera.config,CorsConfig,0,42,0,0,0,9,0,2,0,2
ITERA Backend,com.itera.config,WebConfig,0,45,0,0,0,6,0,2,0,2
ITERA Backend,com.itera.config,GlobalExceptionHandler,61,3,2,0,16,1,6,1,5,1
ITERA Backend,com.itera.controller,ResenaController,20,0,0,0,3,0,3,0,3,0
ITERA Backend,com.itera.controller,PlacesController,48,0,0,0,8,0,8,0,8,0
ITERA Backend,com.itera.controller,AtraccionController,60,0,2,0,14,0,7,0,6,0
ITERA Backend,com.itera.controller,ViajeController,126,0,0,0,24,0,16,0,16,0
ITERA Backend,com.itera.controller,FrontendController,120,25,22,0,28,15,13,2,2,2
ITERA Backend,com.itera.controller,UsuarioController,610,29,36,0,141,16,42,1,24,1
ITERA Backend,com.itera.controller,TranslationController,96,6,12,0,18,3,8,1,2,1
ITERA Backend,com.itera.controller,AuthController,28,0,0,0,6,0,3,0,3,0
ITERA Backend,com.itera.dto,ResenaDTO,3,0,0,0,1,0,1,0,1,0
ITERA Backend,com.itera.dto,ViajeDTO,3,0,0,0,1,0,1,0,1,0
ITERA Backend,com.itera.dto,AuthDTO,3,0,0,0,1,0,1,0,1,0
ITERA Backend,com.itera.dto,ViajeDestinoDTO,3,0,0,0,1,0,1,0,1,0
ITERA Backend,com.itera.dto,ViajeVueloDTO,3,0,0,0,1,0,1,0,1,0
ITERA Backend,com.itera.dto,ItemItinerarioDTO,3,0,0,0,1,0,1,0,1,0
ITERA Backend,com.itera.dto,AtraccionDTO,3,0,0,0,1,0,1,0,1,0
ITERA Backend,com.itera.service,ViajeService,1316,95,186,2,274,26,121,4,27,4
ITERA Backend,com.itera.service,ResenaService,46,76,2,2,8,22,6,2,4,2
ITERA Backend,com.itera.service,TranslationService,210,13,28,0,43,3,16,1,2,1
ITERA Backend,com.itera.service,PlacesService,1205,24,124,0,234,4,78,2,16,2
ITERA Backend,com.itera.service,AtraccionService,661,27,68,0,141,15,46,1,12,1
ITERA Backend,com.itera.service,AuthService,104,122,11,5,20,36,13,3,5,3
ITERA Backend,com.itera,IteraApplication,62,3,2,0,25,1,4,1,3,1
ITERA Backend,com.itera.model,Usuario,7,6,1,1,1,2,1,1,0,1
